series_id,year,period,periodName,value,footnotes,latest
CES0000000001,1939.0,M01,January,29923.0,[{}],
CES0000000001,1939.0,M02,February,30100.0,[{}],
CES0000000001,1939.0,M03,March,30280.0,[{}],
CES0000000001,1939.0,M04,April,30094.0,[{}],
CES0000000001,1939.0,M05,May,30299.0,[{}],
CES0000000001,1939.0,M06,June,30502.0,[{}],
CES0000000001,1939.0,M07,July,30419.0,[{}],
CES0000000001,1939.0,M08,August,30663.0,[{}],
CES0000000001,1939.0,M09,September,31031.0,[{}],
CES0000000001,1939.0,M10,October,31411.0,[{}],
CES0000000001,1939.0,M11,November,31470.0,[{}],
CES0000000001,1939.0,M12,December,31542.0,[{}],
CES0000000001,1940.0,M01,January,31603.0,[{}],
CES0000000001,1940.0,M02,February,31715.0,[{}],
CES0000000001,1940.0,M03,March,31825.0,[{}],
CES0000000001,1940.0,M04,April,31701.0,[{}],
CES0000000001,1940.0,M05,May,31879.0,[{}],
CES0000000001,1940.0,M06,June,31977.0,[{}],
CES0000000001,1940.0,M07,July,31942.0,[{}],
CES0000000001,1940.0,M08,August,32352.0,[{}],
CES0000000001,1940.0,M09,September,32810.0,[{}],
CES0000000001,1940.0,M10,October,33267.0,[{}],
CES0000000001,1940.0,M11,November,33669.0,[{}],
CES0000000001,1940.0,M12,December,34174.0,[{}],
CES0000000001,1941.0,M01,January,34481.0,[{}],
CES0000000001,1941.0,M02,February,34843.0,[{}],
CES0000000001,1941.0,M03,March,35092.0,[{}],
CES0000000001,1941.0,M04,April,35468.0,[{}],
CES0000000001,1941.0,M05,May,36182.0,[{}],
CES0000000001,1941.0,M06,June,36650.0,[{}],
CES0000000001,1941.0,M07,July,37137.0,[{}],
CES0000000001,1941.0,M08,August,37544.0,[{}],
CES0000000001,1941.0,M09,September,37835.0,[{}],
CES0000000001,1941.0,M10,October,37949.0,[{}],
CES0000000001,1941.0,M11,November,38024.0,[{}],
CES0000000001,1941.0,M12,December,38104.0,[{}],
CES0000000001,1942.0,M01,January,38347.0,[{}],
CES0000000001,1942.0,M02,February,38512.0,[{}],
CES0000000001,1942.0,M03,March,38935.0,[{}],
CES0000000001,1942.0,M04,April,39352.0,[{}],
CES0000000001,1942.0,M05,May,39771.0,[{}],
CES0000000001,1942.0,M06,June,40029.0,[{}],
CES0000000001,1942.0,M07,July,40472.0,[{}],
CES0000000001,1942.0,M08,August,40988.0,[{}],
CES0000000001,1942.0,M09,September,41259.0,[{}],
CES0000000001,1942.0,M10,October,41515.0,[{}],
CES0000000001,1942.0,M11,November,41674.0,[{}],
CES0000000001,1942.0,M12,December,41915.0,[{}],
CES0000000001,1943.0,M01,January,42172.0,[{}],
CES0000000001,1943.0,M02,February,42393.0,[{}],
CES0000000001,1943.0,M03,March,42552.0,[{}],
CES0000000001,1943.0,M04,April,42647.0,[{}],
CES0000000001,1943.0,M05,May,42596.0,[{}],
CES0000000001,1943.0,M06,June,42781.0,[{}],
CES0000000001,1943.0,M07,July,42700.0,[{}],
CES0000000001,1943.0,M08,August,42546.0,[{}],
CES0000000001,1943.0,M09,September,42492.0,[{}],
CES0000000001,1943.0,M10,October,42675.0,[{}],
CES0000000001,1943.0,M11,November,42821.0,[{}],
CES0000000001,1943.0,M12,December,42746.0,[{}],
CES0000000001,1944.0,M01,January,42654.0,[{}],
CES0000000001,1944.0,M02,February,42538.0,[{}],
CES0000000001,1944.0,M03,March,42294.0,[{}],
CES0000000001,1944.0,M04,April,42063.0,[{}],
CES0000000001,1944.0,M05,May,41985.0,[{}],
CES0000000001,1944.0,M06,June,41947.0,[{}],
CES0000000001,1944.0,M07,July,41904.0,[{}],
CES0000000001,1944.0,M08,August,41850.0,[{}],
CES0000000001,1944.0,M09,September,41679.0,[{}],
CES0000000001,1944.0,M10,October,41708.0,[{}],
CES0000000001,1944.0,M11,November,41711.0,[{}],
CES0000000001,1944.0,M12,December,41860.0,[{}],
CES0000000001,1945.0,M01,January,41895.0,[{}],
CES0000000001,1945.0,M02,February,41897.0,[{}],
CES0000000001,1945.0,M03,March,41798.0,[{}],
CES0000000001,1945.0,M04,April,41446.0,[{}],
CES0000000001,1945.0,M05,May,41304.0,[{}],
CES0000000001,1945.0,M06,June,41149.0,[{}],
CES0000000001,1945.0,M07,July,40874.0,[{}],
CES0000000001,1945.0,M08,August,40466.0,[{}],
CES0000000001,1945.0,M09,September,38507.0,[{}],
CES0000000001,1945.0,M10,October,38600.0,[{}],
CES0000000001,1945.0,M11,November,38996.0,[{}],
CES0000000001,1945.0,M12,December,39110.0,[{}],
CES0000000001,1946.0,M01,January,39829.0,[{}],
CES0000000001,1946.0,M02,February,39244.0,[{}],
CES0000000001,1946.0,M03,March,40195.0,[{}],
CES0000000001,1946.0,M04,April,40913.0,[{}],
CES0000000001,1946.0,M05,May,41349.0,[{}],
CES0000000001,1946.0,M06,June,41735.0,[{}],
CES0000000001,1946.0,M07,July,42153.0,[{}],
CES0000000001,1946.0,M08,August,42642.0,[{}],
CES0000000001,1946.0,M09,September,42915.0,[{}],
CES0000000001,1946.0,M10,October,43093.0,[{}],
CES0000000001,1946.0,M11,November,43395.0,[{}],
CES0000000001,1946.0,M12,December,43379.0,[{}],
CES0000000001,1947.0,M01,January,43535.0,[{}],
CES0000000001,1947.0,M02,February,43557.0,[{}],
CES0000000001,1947.0,M03,March,43607.0,[{}],
CES0000000001,1947.0,M04,April,43499.0,[{}],
CES0000000001,1947.0,M05,May,43638.0,[{}],
CES0000000001,1947.0,M06,June,43810.0,[{}],
CES0000000001,1947.0,M07,July,43743.0,[{}],
CES0000000001,1947.0,M08,August,43960.0,[{}],
CES0000000001,1947.0,M09,September,44203.0,[{}],
CES0000000001,1947.0,M10,October,44411.0,[{}],
CES0000000001,1947.0,M11,November,44484.0,[{}],
CES0000000001,1947.0,M12,December,44581.0,[{}],
CES0000000001,1948.0,M01,January,44679.0,[{}],
CES0000000001,1948.0,M02,February,44533.0,[{}],
CES0000000001,1948.0,M03,March,44683.0,[{}],
CES0000000001,1948.0,M04,April,44379.0,[{}],
CES0000000001,1948.0,M05,May,44796.0,[{}],
CES0000000001,1948.0,M06,June,45034.0,[{}],
CES0000000001,1948.0,M07,July,45160.0,[{}],
CES0000000001,1948.0,M08,August,45178.0,[{}],
CES0000000001,1948.0,M09,September,45294.0,[{}],
CES0000000001,1948.0,M10,October,45245.0,[{}],
CES0000000001,1948.0,M11,November,45192.0,[{}],
CES0000000001,1948.0,M12,December,45032.0,[{}],
CES0000000001,1949.0,M01,January,44668.0,[{}],
CES0000000001,1949.0,M02,February,44497.0,[{}],
CES0000000001,1949.0,M03,March,44240.0,[{}],
CES0000000001,1949.0,M04,April,44236.0,[{}],
CES0000000001,1949.0,M05,May,43984.0,[{}],
CES0000000001,1949.0,M06,June,43739.0,[{}],
CES0000000001,1949.0,M07,July,43531.0,[{}],
CES0000000001,1949.0,M08,August,43624.0,[{}],
CES0000000001,1949.0,M09,September,43780.0,[{}],
CES0000000001,1949.0,M10,October,42942.0,[{}],
CES0000000001,1949.0,M11,November,43242.0,[{}],
CES0000000001,1949.0,M12,December,43522.0,[{}],
CES0000000001,1950.0,M01,January,43526.0,[{}],
CES0000000001,1950.0,M02,February,43297.0,[{}],
CES0000000001,1950.0,M03,March,43954.0,[{}],
CES0000000001,1950.0,M04,April,44382.0,[{}],
