year,period,periodName,latest,value,footnotes,series_id
2024,M11,November,True,30.57,"[{'code': 'P', 'text': 'preliminary'}]",CES0500000008
2024,M10,October,,30.48,"[{'code': 'P', 'text': 'preliminary'}]",CES0500000008
2024,M09,September,,30.36,[{}],CES0500000008
2024,M08,August,,30.26,[{}],CES0500000008
2024,M07,July,,30.16,[{}],CES0500000008
2024,M06,June,,30.07,[{}],CES0500000008
2024,M05,May,,29.95,[{}],CES0500000008
2024,M04,April,,29.83,[{}],CES0500000008
2024,M03,March,,29.79,[{}],CES0500000008
2024,M02,February,,29.7,[{}],CES0500000008
2024,M01,January,,29.64,[{}],CES0500000008
2023,M12,December,,29.51,[{}],CES0500000008
2023,M11,November,,29.42,[{}],CES0500000008
2023,M10,October,,29.29,[{}],CES0500000008
2023,M09,September,,29.18,[{}],CES0500000008
2023,M08,August,,29.09,[{}],CES0500000008
2023,M07,July,,29.03,[{}],CES0500000008
2023,M06,June,,28.9,[{}],CES0500000008
2023,M05,May,,28.79,[{}],CES0500000008
2023,M04,April,,28.68,[{}],CES0500000008
2023,M03,March,,28.58,[{}],CES0500000008
2023,M02,February,,28.42,[{}],CES0500000008
2023,M01,January,,28.31,[{}],CES0500000008
2022,M12,December,,28.23,[{}],CES0500000008
2022,M11,November,,28.13,[{}],CES0500000008
2022,M10,October,,28.0,[{}],CES0500000008
2022,M09,September,,27.86,[{}],CES0500000008
2022,M08,August,,27.75,[{}],CES0500000008
2022,M07,July,,27.66,[{}],CES0500000008
2022,M06,June,,27.53,[{}],CES0500000008
2022,M05,May,,27.39,[{}],CES0500000008
2022,M04,April,,27.27,[{}],CES0500000008
2022,M03,March,,27.11,[{}],CES0500000008
2022,M02,February,,26.97,[{}],CES0500000008
2022,M01,January,,26.9,[{}],CES0500000008
2021,M12,December,,26.76,[{}],CES0500000008
2021,M11,November,,26.57,[{}],CES0500000008
2021,M10,October,,26.46,[{}],CES0500000008
2021,M09,September,,26.3,[{}],CES0500000008
2021,M08,August,,26.12,[{}],CES0500000008
2021,M07,July,,25.96,[{}],CES0500000008
2021,M06,June,,25.81,[{}],CES0500000008
2021,M05,May,,25.68,[{}],CES0500000008
2021,M04,April,,25.51,[{}],CES0500000008
2021,M03,March,,25.34,[{}],CES0500000008
2021,M02,February,,25.25,[{}],CES0500000008
2021,M01,January,,25.17,[{}],CES0500000008
2020,M12,December,,25.16,[{}],CES0500000008
2020,M11,November,,24.93,[{}],CES0500000008
2020,M10,October,,24.85,[{}],CES0500000008
2020,M09,September,,24.81,[{}],CES0500000008
2020,M08,August,,24.82,[{}],CES0500000008
2020,M07,July,,24.69,[{}],CES0500000008
2020,M06,June,,24.79,[{}],CES0500000008
2020,M05,May,,24.99,[{}],CES0500000008
2020,M04,April,,25.14,[{}],CES0500000008
2020,M03,March,,24.15,[{}],CES0500000008
2020,M02,February,,24.01,[{}],CES0500000008
2020,M01,January,,23.91,[{}],CES0500000008
2024,M11,November,true,30.57,"[{'code': 'P', 'text': 'preliminary'}]",CES0500000008
2024,M10,October,,30.48,"[{'code': 'P', 'text': 'preliminary'}]",CES0500000008
2024,M09,September,,30.36,[{}],CES0500000008
2024,M08,August,,30.26,[{}],CES0500000008
2024,M07,July,,30.16,[{}],CES0500000008
2024,M06,June,,30.07,[{}],CES0500000008
2024,M05,May,,29.95,[{}],CES0500000008
2024,M04,April,,29.83,[{}],CES0500000008
2024,M03,March,,29.79,[{}],CES0500000008
2024,M02,February,,29.70,[{}],CES0500000008
2024,M01,January,,29.64,[{}],CES0500000008
2023,M12,December,,29.51,[{}],CES0500000008
2023,M11,November,,29.42,[{}],CES0500000008
2023,M10,October,,29.29,[{}],CES0500000008
2023,M09,September,,29.18,[{}],CES0500000008
2023,M08,August,,29.09,[{}],CES0500000008
2023,M07,July,,29.03,[{}],CES0500000008
2023,M06,June,,28.90,[{}],CES0500000008
2023,M05,May,,28.79,[{}],CES0500000008
2023,M04,April,,28.68,[{}],CES0500000008
2023,M03,March,,28.58,[{}],CES0500000008
2023,M02,February,,28.42,[{}],CES0500000008
2023,M01,January,,28.31,[{}],CES0500000008
2022,M12,December,,28.23,[{}],CES0500000008
2022,M11,November,,28.13,[{}],CES0500000008
2022,M10,October,,28.00,[{}],CES0500000008
2022,M09,September,,27.86,[{}],CES0500000008
2022,M08,August,,27.75,[{}],CES0500000008
2022,M07,July,,27.66,[{}],CES0500000008
2022,M06,June,,27.53,[{}],CES0500000008
2022,M05,May,,27.39,[{}],CES0500000008
2022,M04,April,,27.27,[{}],CES0500000008
2022,M03,March,,27.11,[{}],CES0500000008
2022,M02,February,,26.97,[{}],CES0500000008
2022,M01,January,,26.90,[{}],CES0500000008
2021,M12,December,,26.76,[{}],CES0500000008
2021,M11,November,,26.57,[{}],CES0500000008
2021,M10,October,,26.46,[{}],CES0500000008
2021,M09,September,,26.30,[{}],CES0500000008
2021,M08,August,,26.12,[{}],CES0500000008
2021,M07,July,,25.96,[{}],CES0500000008
2021,M06,June,,25.81,[{}],CES0500000008
2021,M05,May,,25.68,[{}],CES0500000008
2021,M04,April,,25.51,[{}],CES0500000008
2021,M03,March,,25.34,[{}],CES0500000008
2021,M02,February,,25.25,[{}],CES0500000008
2021,M01,January,,25.17,[{}],CES0500000008
2020,M12,December,,25.16,[{}],CES0500000008
2020,M11,November,,24.93,[{}],CES0500000008
2020,M10,October,,24.85,[{}],CES0500000008
2020,M09,September,,24.81,[{}],CES0500000008
2020,M08,August,,24.82,[{}],CES0500000008
2020,M07,July,,24.69,[{}],CES0500000008
2020,M06,June,,24.79,[{}],CES0500000008
2020,M05,May,,24.99,[{}],CES0500000008
2020,M04,April,,25.14,[{}],CES0500000008
2020,M03,March,,24.15,[{}],CES0500000008
2020,M02,February,,24.01,[{}],CES0500000008
2020,M01,January,,23.91,[{}],CES0500000008
