year,period,periodName,latest,value,footnotes,series_id
2024,M10,October,True,945.589,[{}],CUUR0000AA0
2024,M09,September,,944.502,[{}],CUUR0000AA0
2024,M08,August,,942.988,[{}],CUUR0000AA0
2024,M07,July,,942.221,[{}],CUUR0000AA0
2024,M06,June,,941.129,[{}],CUUR0000AA0
2024,M05,May,,940.811,[{}],CUUR0000AA0
2024,M04,April,,939.251,[{}],CUUR0000AA0
2024,M03,March,,935.609,[{}],CUUR0000AA0
2024,M02,February,,929.598,[{}],CUUR0000AA0
2024,M01,January,,923.881,[{}],CUUR0000AA0
2023,M12,December,,918.875,[{}],CUUR0000AA0
2023,M11,November,,919.789,[{}],CUUR0000AA0
2023,M10,October,,921.645,[{}],CUUR0000AA0
2023,M09,September,,921.999,[{}],CUUR0000AA0
2023,M08,August,,919.713,[{}],CUUR0000AA0
2023,M07,July,,915.714,[{}],CUUR0000AA0
2023,M06,June,,913.97,[{}],CUUR0000AA0
2023,M05,May,,911.031,[{}],CUUR0000AA0
2023,M04,April,,908.742,[{}],CUUR0000AA0
2023,M03,March,,904.167,[{}],CUUR0000AA0
2023,M02,February,,901.182,[{}],CUUR0000AA0
2023,M01,January,,896.182,[{}],CUUR0000AA0
2022,M12,December,,889.073,[{}],CUUR0000AA0
2022,M11,November,,891.809,[{}],CUUR0000AA0
2022,M10,October,,892.711,[{}],CUUR0000AA0
2022,M09,September,,889.104,[{}],CUUR0000AA0
2022,M08,August,,887.197,[{}],CUUR0000AA0
2022,M07,July,,887.511,[{}],CUUR0000AA0
2022,M06,June,,887.615,[{}],CUUR0000AA0
2022,M05,May,,875.589,[{}],CUUR0000AA0
2022,M04,April,,866.042,[{}],CUUR0000AA0
2022,M03,March,,861.235,[{}],CUUR0000AA0
2022,M02,February,,849.887,[{}],CUUR0000AA0
2022,M01,January,,842.196,[{}],CUUR0000AA0
2021,M12,December,,835.168,[{}],CUUR0000AA0
2021,M11,November,,832.609,[{}],CUUR0000AA0
2021,M10,October,,828.538,[{}],CUUR0000AA0
2021,M09,September,,821.71,[{}],CUUR0000AA0
2021,M08,August,,819.485,[{}],CUUR0000AA0
2021,M07,July,,817.796,[{}],CUUR0000AA0
2021,M06,June,,813.879,[{}],CUUR0000AA0
2021,M05,May,,806.387,[{}],CUUR0000AA0
2021,M04,April,,799.975,[{}],CUUR0000AA0
2021,M03,March,,793.455,[{}],CUUR0000AA0
2021,M02,February,,787.872,[{}],CUUR0000AA0
2021,M01,January,,783.584,[{}],CUUR0000AA0
2020,M12,December,,780.263,[{}],CUUR0000AA0
2020,M11,November,,779.531,[{}],CUUR0000AA0
2020,M10,October,,780.008,[{}],CUUR0000AA0
2020,M09,September,,779.684,[{}],CUUR0000AA0
2020,M08,August,,778.599,[{}],CUUR0000AA0
2020,M07,July,,776.152,[{}],CUUR0000AA0
2020,M06,June,,772.245,[{}],CUUR0000AA0
2020,M05,May,,768.044,[{}],CUUR0000AA0
2020,M04,April,,768.029,[{}],CUUR0000AA0
2020,M03,March,,773.199,[{}],CUUR0000AA0
2020,M02,February,,774.886,[{}],CUUR0000AA0
2020,M01,January,,772.768,[{}],CUUR0000AA0
2024,M10,October,true,945.589,[{}],CUUR0000AA0
2024,M09,September,,944.502,[{}],CUUR0000AA0
2024,M08,August,,942.988,[{}],CUUR0000AA0
2024,M07,July,,942.221,[{}],CUUR0000AA0
2024,M06,June,,941.129,[{}],CUUR0000AA0
2024,M05,May,,940.811,[{}],CUUR0000AA0
2024,M04,April,,939.251,[{}],CUUR0000AA0
2024,M03,March,,935.609,[{}],CUUR0000AA0
2024,M02,February,,929.598,[{}],CUUR0000AA0
2024,M01,January,,923.881,[{}],CUUR0000AA0
