year,period,periodName,latest,value,footnotes,series_id
2024,M10,October,True,315.664,[{}],CUUR0000SA0
2024,M09,September,,315.301,[{}],CUUR0000SA0
2024,M08,August,,314.796,[{}],CUUR0000SA0
2024,M07,July,,314.54,[{}],CUUR0000SA0
2024,M06,June,,314.175,[{}],CUUR0000SA0
2024,M05,May,,314.069,[{}],CUUR0000SA0
2024,M04,April,,313.548,[{}],CUUR0000SA0
2024,M03,March,,312.332,[{}],CUUR0000SA0
2024,M02,February,,310.326,[{}],CUUR0000SA0
2024,M01,January,,308.417,[{}],CUUR0000SA0
2023,M12,December,,306.746,[{}],CUUR0000SA0
2023,M11,November,,307.051,[{}],CUUR0000SA0
2023,M10,October,,307.671,[{}],CUUR0000SA0
2023,M09,September,,307.789,[{}],CUUR0000SA0
2023,M08,August,,307.026,[{}],CUUR0000SA0
2023,M07,July,,305.691,[{}],CUUR0000SA0
2023,M06,June,,305.109,[{}],CUUR0000SA0
2023,M05,May,,304.127,[{}],CUUR0000SA0
2023,M04,April,,303.363,[{}],CUUR0000SA0
2023,M03,March,,301.836,[{}],CUUR0000SA0
2023,M02,February,,300.84,[{}],CUUR0000SA0
2023,M01,January,,299.17,[{}],CUUR0000SA0
2022,M12,December,,296.797,[{}],CUUR0000SA0
2022,M11,November,,297.711,[{}],CUUR0000SA0
2022,M10,October,,298.012,[{}],CUUR0000SA0
2022,M09,September,,296.808,[{}],CUUR0000SA0
2022,M08,August,,296.171,[{}],CUUR0000SA0
2022,M07,July,,296.276,[{}],CUUR0000SA0
2022,M06,June,,296.311,[{}],CUUR0000SA0
2022,M05,May,,292.296,[{}],CUUR0000SA0
2022,M04,April,,289.109,[{}],CUUR0000SA0
2022,M03,March,,287.504,[{}],CUUR0000SA0
2022,M02,February,,283.716,[{}],CUUR0000SA0
2022,M01,January,,281.148,[{}],CUUR0000SA0
2021,M12,December,,278.802,[{}],CUUR0000SA0
2021,M11,November,,277.948,[{}],CUUR0000SA0
2021,M10,October,,276.589,[{}],CUUR0000SA0
2021,M09,September,,274.31,[{}],CUUR0000SA0
2021,M08,August,,273.567,[{}],CUUR0000SA0
2021,M07,July,,273.003,[{}],CUUR0000SA0
2021,M06,June,,271.696,[{}],CUUR0000SA0
