year,period,periodName,latest,value,footnotes,series_id
2024,M11,November,True,313.039,[{}],CWUR0000SA0L1E
2024,M10,October,,312.914,[{}],CWUR0000SA0L1E
2024,M09,September,,312.237,[{}],CWUR0000SA0L1E
2024,M08,August,,311.067,[{}],CWUR0000SA0L1E
2024,M07,July,,310.228,[{}],CWUR0000SA0L1E
2024,M06,June,,309.964,[{}],CWUR0000SA0L1E
2024,M05,May,,309.69,[{}],CWUR0000SA0L1E
2024,M04,April,,309.192,[{}],CWUR0000SA0L1E
2024,M03,March,,308.358,[{}],CWUR0000SA0L1E
2024,M02,February,,306.697,[{}],CWUR0000SA0L1E
2024,M01,January,,304.794,[{}],CWUR0000SA0L1E
2023,M12,December,,303.323,[{}],CWUR0000SA0L1E
2023,M11,November,,303.034,[{}],CWUR0000SA0L1E
2023,M10,October,,302.768,[{}],CWUR0000SA0L1E
2023,M09,September,,302.026,[{}],CWUR0000SA0L1E
2023,M08,August,,301.393,[{}],CWUR0000SA0L1E
2023,M07,July,,300.535,[{}],CWUR0000SA0L1E
2023,M06,June,,300.176,[{}],CWUR0000SA0L1E
2023,M05,May,,299.381,[{}],CWUR0000SA0L1E
2023,M04,April,,298.232,[{}],CWUR0000SA0L1E
2023,M03,March,,296.808,[{}],CWUR0000SA0L1E
2023,M02,February,,295.381,[{}],CWUR0000SA0L1E
2023,M01,January,,293.521,[{}],CWUR0000SA0L1E
2022,M12,December,,291.691,[{}],CWUR0000SA0L1E
2022,M11,November,,291.255,[{}],CWUR0000SA0L1E
2022,M10,October,,290.934,[{}],CWUR0000SA0L1E
2022,M09,September,,290.224,[{}],CWUR0000SA0L1E
2022,M08,August,,289.25,[{}],CWUR0000SA0L1E
2022,M07,July,,287.673,[{}],CWUR0000SA0L1E
2022,M06,June,,286.616,[{}],CWUR0000SA0L1E
2022,M05,May,,284.413,[{}],CWUR0000SA0L1E
2022,M04,April,,282.873,[{}],CWUR0000SA0L1E
2022,M03,March,,281.553,[{}],CWUR0000SA0L1E
2022,M02,February,,280.639,[{}],CWUR0000SA0L1E
2022,M01,January,,278.665,[{}],CWUR0000SA0L1E
2021,M12,December,,276.538,[{}],CWUR0000SA0L1E
2021,M11,November,,275.218,[{}],CWUR0000SA0L1E
2021,M10,October,,273.968,[{}],CWUR0000SA0L1E
2021,M09,September,,272.092,[{}],CWUR0000SA0L1E
2021,M08,August,,271.847,[{}],CWUR0000SA0L1E
2021,M07,July,,271.46,[{}],CWUR0000SA0L1E
2021,M06,June,,270.573,[{}],CWUR0000SA0L1E
2021,M05,May,,267.936,[{}],CWUR0000SA0L1E
2021,M04,April,,265.831,[{}],CWUR0000SA0L1E
2021,M03,March,,263.45,[{}],CWUR0000SA0L1E
2021,M02,February,,262.446,[{}],CWUR0000SA0L1E
2021,M01,January,,261.544,[{}],CWUR0000SA0L1E
2020,M12,December,,261.052,[{}],CWUR0000SA0L1E
2020,M11,November,,261.384,[{}],CWUR0000SA0L1E
2020,M10,October,,261.236,[{}],CWUR0000SA0L1E
2020,M09,September,,260.955,[{}],CWUR0000SA0L1E
2020,M08,August,,260.606,[{}],CWUR0000SA0L1E
2020,M07,July,,259.318,[{}],CWUR0000SA0L1E
2020,M06,June,,257.593,[{}],CWUR0000SA0L1E
2020,M05,May,,257.159,[{}],CWUR0000SA0L1E
2020,M04,April,,257.569,[{}],CWUR0000SA0L1E
2020,M03,March,,258.693,[{}],CWUR0000SA0L1E
2020,M02,February,,258.445,[{}],CWUR0000SA0L1E
2020,M01,January,,257.223,[{}],CWUR0000SA0L1E
2024,M11,November,true,313.039,[{}],CWUR0000SA0L1E
2024,M10,October,,312.914,[{}],CWUR0000SA0L1E
2024,M09,September,,312.237,[{}],CWUR0000SA0L1E
2024,M08,August,,311.067,[{}],CWUR0000SA0L1E
2024,M07,July,,310.228,[{}],CWUR0000SA0L1E
2024,M06,June,,309.964,[{}],CWUR0000SA0L1E
2024,M05,May,,309.690,[{}],CWUR0000SA0L1E
2024,M04,April,,309.192,[{}],CWUR0000SA0L1E
2024,M03,March,,308.358,[{}],CWUR0000SA0L1E
2024,M02,February,,306.697,[{}],CWUR0000SA0L1E
2024,M01,January,,304.794,[{}],CWUR0000SA0L1E
2023,M12,December,,303.323,[{}],CWUR0000SA0L1E
2023,M11,November,,303.034,[{}],CWUR0000SA0L1E
2023,M10,October,,302.768,[{}],CWUR0000SA0L1E
2023,M09,September,,302.026,[{}],CWUR0000SA0L1E
2023,M08,August,,301.393,[{}],CWUR0000SA0L1E
2023,M07,July,,300.535,[{}],CWUR0000SA0L1E
2023,M06,June,,300.176,[{}],CWUR0000SA0L1E
2023,M05,May,,299.381,[{}],CWUR0000SA0L1E
2023,M04,April,,298.232,[{}],CWUR0000SA0L1E
2023,M03,March,,296.808,[{}],CWUR0000SA0L1E
2023,M02,February,,295.381,[{}],CWUR0000SA0L1E
2023,M01,January,,293.521,[{}],CWUR0000SA0L1E
2022,M12,December,,291.691,[{}],CWUR0000SA0L1E
2022,M11,November,,291.255,[{}],CWUR0000SA0L1E
2022,M10,October,,290.934,[{}],CWUR0000SA0L1E
2022,M09,September,,290.224,[{}],CWUR0000SA0L1E
2022,M08,August,,289.250,[{}],CWUR0000SA0L1E
2022,M07,July,,287.673,[{}],CWUR0000SA0L1E
2022,M06,June,,286.616,[{}],CWUR0000SA0L1E
2022,M05,May,,284.413,[{}],CWUR0000SA0L1E
2022,M04,April,,282.873,[{}],CWUR0000SA0L1E
2022,M03,March,,281.553,[{}],CWUR0000SA0L1E
2022,M02,February,,280.639,[{}],CWUR0000SA0L1E
2022,M01,January,,278.665,[{}],CWUR0000SA0L1E
2021,M12,December,,276.538,[{}],CWUR0000SA0L1E
2021,M11,November,,275.218,[{}],CWUR0000SA0L1E
2021,M10,October,,273.968,[{}],CWUR0000SA0L1E
2021,M09,September,,272.092,[{}],CWUR0000SA0L1E
2021,M08,August,,271.847,[{}],CWUR0000SA0L1E
2021,M07,July,,271.460,[{}],CWUR0000SA0L1E
2021,M06,June,,270.573,[{}],CWUR0000SA0L1E
2021,M05,May,,267.936,[{}],CWUR0000SA0L1E
2021,M04,April,,265.831,[{}],CWUR0000SA0L1E
2021,M03,March,,263.450,[{}],CWUR0000SA0L1E
2021,M02,February,,262.446,[{}],CWUR0000SA0L1E
2021,M01,January,,261.544,[{}],CWUR0000SA0L1E
2020,M12,December,,261.052,[{}],CWUR0000SA0L1E
