year,period,periodName,latest,value,footnotes,series_id
2024,M11,November,True,141.2,[{}],EIUIR
2024,M10,October,,141.0,"[{'code': 'R', 'text': 'Revised.'}]",EIUIR
2024,M09,September,,140.9,"[{'code': 'R', 'text': 'Revised.'}]",EIUIR
2024,M08,August,,141.4,[{}],EIUIR
2024,M07,July,,141.8,[{}],EIUIR
2024,M06,June,,141.6,[{}],EIUIR
2024,M05,May,,141.5,[{}],EIUIR
2024,M04,April,,141.7,[{}],EIUIR
2024,M03,March,,140.5,[{}],EIUIR
2024,M02,February,,139.7,[{}],EIUIR
2024,M01,January,,139.4,[{}],EIUIR
2023,M12,December,,138.4,[{}],EIUIR
2023,M11,November,,139.4,[{}],EIUIR
2023,M10,October,,140.1,[{}],EIUIR
2023,M09,September,,141.0,[{}],EIUIR
2023,M08,August,,140.3,[{}],EIUIR
2023,M07,July,,139.4,[{}],EIUIR
2023,M06,June,,139.4,[{}],EIUIR
2023,M05,May,,139.7,[{}],EIUIR
2023,M04,April,,140.3,[{}],EIUIR
2023,M03,March,,139.9,[{}],EIUIR
2023,M02,February,,141.0,[{}],EIUIR
2023,M01,January,,141.3,[{}],EIUIR
2022,M12,December,,141.8,[{}],EIUIR
2022,M11,November,,141.6,[{}],EIUIR
2022,M10,October,,142.7,[{}],EIUIR
2022,M09,September,,143.1,[{}],EIUIR
2022,M08,August,,144.6,[{}],EIUIR
2022,M07,July,,146.4,[{}],EIUIR
2022,M06,June,,148.5,[{}],EIUIR
2022,M05,May,,148.2,[{}],EIUIR
2022,M04,April,,147.5,[{}],EIUIR
2022,M03,March,,146.8,[{}],EIUIR
2022,M02,February,,142.6,[{}],EIUIR
2022,M01,January,,140.1,[{}],EIUIR
2021,M12,December,,137.4,[{}],EIUIR
2021,M11,November,,137.9,[{}],EIUIR
2021,M10,October,,136.9,[{}],EIUIR
2021,M09,September,,134.9,[{}],EIUIR
2021,M08,August,,134.3,[{}],EIUIR
2021,M07,July,,134.6,[{}],EIUIR
2021,M06,June,,134.2,[{}],EIUIR
2021,M05,May,,132.8,[{}],EIUIR
2021,M04,April,,131.1,[{}],EIUIR
2021,M03,March,,129.9,[{}],EIUIR
2021,M02,February,,128.0,[{}],EIUIR
2021,M01,January,,126.5,[{}],EIUIR
2020,M12,December,,124.6,[{}],EIUIR
2020,M11,November,,123.4,[{}],EIUIR
2020,M10,October,,123.3,[{}],EIUIR
2020,M09,September,,123.4,[{}],EIUIR
2020,M08,August,,123.2,[{}],EIUIR
2020,M07,July,,122.1,[{}],EIUIR
2020,M06,June,,120.6,[{}],EIUIR
2020,M05,May,,119.0,[{}],EIUIR
2020,M04,April,,118.2,[{}],EIUIR
2020,M03,March,,121.3,[{}],EIUIR
2020,M02,February,,124.3,[{}],EIUIR
2020,M01,January,,125.2,[{}],EIUIR
2024,M11,November,true,141.2,[{}],EIUIR
2024,M10,October,,141.0,"[{'code': 'R', 'text': 'Revised.'}]",EIUIR
2024,M09,September,,140.9,"[{'code': 'R', 'text': 'Revised.'}]",EIUIR
2024,M08,August,,141.4,[{}],EIUIR
2024,M07,July,,141.8,[{}],EIUIR
2024,M06,June,,141.6,[{}],EIUIR
2024,M05,May,,141.5,[{}],EIUIR
2024,M04,April,,141.7,[{}],EIUIR
2024,M03,March,,140.5,[{}],EIUIR
2024,M02,February,,139.7,[{}],EIUIR
2024,M01,January,,139.4,[{}],EIUIR
2023,M12,December,,138.4,[{}],EIUIR
2023,M11,November,,139.4,[{}],EIUIR
2023,M10,October,,140.1,[{}],EIUIR
2023,M09,September,,141.0,[{}],EIUIR
2023,M08,August,,140.3,[{}],EIUIR
2023,M07,July,,139.4,[{}],EIUIR
2023,M06,June,,139.4,[{}],EIUIR
2023,M05,May,,139.7,[{}],EIUIR
2023,M04,April,,140.3,[{}],EIUIR
2023,M03,March,,139.9,[{}],EIUIR
2023,M02,February,,141.0,[{}],EIUIR
2023,M01,January,,141.3,[{}],EIUIR
2022,M12,December,,141.8,[{}],EIUIR
2022,M11,November,,141.6,[{}],EIUIR
2022,M10,October,,142.7,[{}],EIUIR
2022,M09,September,,143.1,[{}],EIUIR
2022,M08,August,,144.6,[{}],EIUIR
2022,M07,July,,146.4,[{}],EIUIR
2022,M06,June,,148.5,[{}],EIUIR
2022,M05,May,,148.2,[{}],EIUIR
2022,M04,April,,147.5,[{}],EIUIR
2022,M03,March,,146.8,[{}],EIUIR
2022,M02,February,,142.6,[{}],EIUIR
2022,M01,January,,140.1,[{}],EIUIR
2021,M12,December,,137.4,[{}],EIUIR
2021,M11,November,,137.9,[{}],EIUIR
2021,M10,October,,136.9,[{}],EIUIR
2021,M09,September,,134.9,[{}],EIUIR
2021,M08,August,,134.3,[{}],EIUIR
2021,M07,July,,134.6,[{}],EIUIR
2021,M06,June,,134.2,[{}],EIUIR
2021,M05,May,,132.8,[{}],EIUIR
2021,M04,April,,131.1,[{}],EIUIR
2021,M03,March,,129.9,[{}],EIUIR
2021,M02,February,,128.0,[{}],EIUIR
2021,M01,January,,126.5,[{}],EIUIR
2020,M12,December,,124.6,[{}],EIUIR
