year,period,periodName,latest,value,footnotes,series_id
2024,M11,November,True,168286,[{}],LNS11000000
2024,M10,October,,168479,[{}],LNS11000000
2024,M09,September,,168699,[{}],LNS11000000
2024,M08,August,,168549,[{}],LNS11000000
2024,M07,July,,168429,[{}],LNS11000000
2024,M06,June,,168009,[{}],LNS11000000
2024,M05,May,,167732,[{}],LNS11000000
2024,M04,April,,167982,[{}],LNS11000000
2024,M03,March,,167895,[{}],LNS11000000
2024,M02,February,,167426,[{}],LNS11000000
2024,M01,January,,167276,"[{'code': '1', 'text': 'Data affected by changes in population controls.'}]",LNS11000000
2023,M12,December,,167451,[{}],LNS11000000
2023,M11,November,,168127,[{}],LNS11000000
2023,M10,October,,167723,[{}],LNS11000000
2023,M09,September,,167897,[{}],LNS11000000
2023,M08,August,,167840,[{}],LNS11000000
2023,M07,July,,167113,[{}],LNS11000000
2023,M06,June,,167000,[{}],LNS11000000
2023,M05,May,,166823,[{}],LNS11000000
2023,M04,April,,166678,[{}],LNS11000000
2023,M03,March,,166690,[{}],LNS11000000
2023,M02,February,,166263,[{}],LNS11000000
2023,M01,January,,165871,"[{'code': '1', 'text': 'Data affected by changes in population controls.'}]",LNS11000000
2022,M12,December,,164998,[{}],LNS11000000
2022,M11,November,,164441,[{}],LNS11000000
2022,M10,October,,164679,[{}],LNS11000000
2022,M09,September,,164649,[{}],LNS11000000
2022,M08,August,,164741,[{}],LNS11000000
2022,M07,July,,164065,[{}],LNS11000000
2022,M06,June,,164100,[{}],LNS11000000
2022,M05,May,,164280,[{}],LNS11000000
2022,M04,April,,163922,[{}],LNS11000000
2022,M03,March,,164212,[{}],LNS11000000
2022,M02,February,,163807,[{}],LNS11000000
2022,M01,January,,163615,"[{'code': '1', 'text': 'Data affected by changes in population controls.'}]",LNS11000000
2021,M12,December,,162429,[{}],LNS11000000
2021,M11,November,,162241,[{}],LNS11000000
2021,M10,October,,161748,[{}],LNS11000000
2021,M09,September,,161568,[{}],LNS11000000
2021,M08,August,,161558,[{}],LNS11000000
2021,M07,July,,161558,[{}],LNS11000000
2021,M06,June,,161294,[{}],LNS11000000
2021,M05,May,,160737,[{}],LNS11000000
2021,M04,April,,160884,[{}],LNS11000000
2021,M03,March,,160395,[{}],LNS11000000
2021,M02,February,,160133,[{}],LNS11000000
2021,M01,January,,160014,"[{'code': '1', 'text': 'Data affected by changes in population controls.'}]",LNS11000000
2020,M12,December,,160761,[{}],LNS11000000
2020,M11,November,,160627,[{}],LNS11000000
2020,M10,October,,160961,[{}],LNS11000000
2020,M09,September,,160247,[{}],LNS11000000
2020,M08,August,,160759,[{}],LNS11000000
2020,M07,July,,160178,[{}],LNS11000000
2020,M06,June,,160003,[{}],LNS11000000
2020,M05,May,,158066,[{}],LNS11000000
2020,M04,April,,156276,[{}],LNS11000000
2020,M03,March,,162581,[{}],LNS11000000
2020,M02,February,,164412,[{}],LNS11000000
2020,M01,January,,164328,"[{'code': '1', 'text': 'Data affected by changes in population controls.'}]",LNS11000000
2024,M11,November,true,168286,[{}],LNS11000000
2024,M10,October,,168479,[{}],LNS11000000
2024,M09,September,,168699,[{}],LNS11000000
2024,M08,August,,168549,[{}],LNS11000000
2024,M07,July,,168429,[{}],LNS11000000
2024,M06,June,,168009,[{}],LNS11000000
2024,M05,May,,167732,[{}],LNS11000000
2024,M04,April,,167982,[{}],LNS11000000
2024,M03,March,,167895,[{}],LNS11000000
2024,M02,February,,167426,[{}],LNS11000000
2024,M01,January,,167276,"[{'code': '1', 'text': 'Data affected by changes in population controls.'}]",LNS11000000
2023,M12,December,,167451,[{}],LNS11000000
2023,M11,November,,168127,[{}],LNS11000000
2023,M10,October,,167723,[{}],LNS11000000
2023,M09,September,,167897,[{}],LNS11000000
2023,M08,August,,167840,[{}],LNS11000000
2023,M07,July,,167113,[{}],LNS11000000
2023,M06,June,,167000,[{}],LNS11000000
2023,M05,May,,166823,[{}],LNS11000000
2023,M04,April,,166678,[{}],LNS11000000
2023,M03,March,,166690,[{}],LNS11000000
2023,M02,February,,166263,[{}],LNS11000000
2023,M01,January,,165871,"[{'code': '1', 'text': 'Data affected by changes in population controls.'}]",LNS11000000
2022,M12,December,,164998,[{}],LNS11000000
2022,M11,November,,164441,[{}],LNS11000000
2022,M10,October,,164679,[{}],LNS11000000
2022,M09,September,,164649,[{}],LNS11000000
2022,M08,August,,164741,[{}],LNS11000000
2022,M07,July,,164065,[{}],LNS11000000
2022,M06,June,,164100,[{}],LNS11000000
2022,M05,May,,164280,[{}],LNS11000000
2022,M04,April,,163922,[{}],LNS11000000
2022,M03,March,,164212,[{}],LNS11000000
2022,M02,February,,163807,[{}],LNS11000000
2022,M01,January,,163615,"[{'code': '1', 'text': 'Data affected by changes in population controls.'}]",LNS11000000
2021,M12,December,,162429,[{}],LNS11000000
2021,M11,November,,162241,[{}],LNS11000000
2021,M10,October,,161748,[{}],LNS11000000
2021,M09,September,,161568,[{}],LNS11000000
2021,M08,August,,161558,[{}],LNS11000000
2021,M07,July,,161558,[{}],LNS11000000
2021,M06,June,,161294,[{}],LNS11000000
2021,M05,May,,160737,[{}],LNS11000000
2021,M04,April,,160884,[{}],LNS11000000
2021,M03,March,,160395,[{}],LNS11000000
2021,M02,February,,160133,[{}],LNS11000000
2021,M01,January,,160014,"[{'code': '1', 'text': 'Data affected by changes in population controls.'}]",LNS11000000
2020,M12,December,,160761,[{}],LNS11000000
2020,M11,November,,160627,[{}],LNS11000000
2020,M10,October,,160961,[{}],LNS11000000
2020,M09,September,,160247,[{}],LNS11000000
2020,M08,August,,160759,[{}],LNS11000000
2020,M07,July,,160178,[{}],LNS11000000
2020,M06,June,,160003,[{}],LNS11000000
2020,M05,May,,158066,[{}],LNS11000000
2020,M04,April,,156276,[{}],LNS11000000
2020,M03,March,,162581,[{}],LNS11000000
2020,M02,February,,164412,[{}],LNS11000000
2020,M01,January,,164328,"[{'code': '1', 'text': 'Data affected by changes in population controls.'}]",LNS11000000
2019,M12,December,,164699,[{}],LNS11000000
2019,M11,November,,164496,[{}],LNS11000000
2019,M10,October,,164416,[{}],LNS11000000
2019,M09,September,,164092,[{}],LNS11000000
