series_id,year,period,periodName,value,footnotes,latest
LNS12000000,1948.0,M01,January,58061.0,[{}],
LNS12000000,1948.0,M02,February,58196.0,[{}],
LNS12000000,1948.0,M03,March,57671.0,[{}],
LNS12000000,1948.0,M04,April,58291.0,[{}],
LNS12000000,1948.0,M05,May,57854.0,[{}],
LNS12000000,1948.0,M06,June,58743.0,[{}],
LNS12000000,1948.0,M07,July,58968.0,[{}],
LNS12000000,1948.0,M08,August,58456.0,[{}],
LNS12000000,1948.0,M09,September,58513.0,[{}],
LNS12000000,1948.0,M10,October,58387.0,[{}],
LNS12000000,1948.0,M11,November,58417.0,[{}],
LNS12000000,1948.0,M12,December,58740.0,[{}],
LNS12000000,1949.0,M01,January,58175.0,[{}],
LNS12000000,1949.0,M02,February,58208.0,[{}],
LNS12000000,1949.0,M03,March,58043.0,[{}],
LNS12000000,1949.0,M04,April,57747.0,[{}],
LNS12000000,1949.0,M05,May,57552.0,[{}],
LNS12000000,1949.0,M06,June,57172.0,[{}],
LNS12000000,1949.0,M07,July,57190.0,[{}],
LNS12000000,1949.0,M08,August,57397.0,[{}],
LNS12000000,1949.0,M09,September,57584.0,[{}],
LNS12000000,1949.0,M10,October,57269.0,[{}],
LNS12000000,1949.0,M11,November,58009.0,[{}],
LNS12000000,1949.0,M12,December,57845.0,[{}],
LNS12000000,1950.0,M01,January,57635.0,[{}],
LNS12000000,1950.0,M02,February,57751.0,[{}],
LNS12000000,1950.0,M03,March,57728.0,[{}],
LNS12000000,1950.0,M04,April,58583.0,[{}],
LNS12000000,1950.0,M05,May,58649.0,[{}],
LNS12000000,1950.0,M06,June,59052.0,[{}],
LNS12000000,1950.0,M07,July,59001.0,[{}],
LNS12000000,1950.0,M08,August,59797.0,[{}],
LNS12000000,1950.0,M09,September,59575.0,[{}],
LNS12000000,1950.0,M10,October,59803.0,[{}],
LNS12000000,1950.0,M11,November,59697.0,[{}],
LNS12000000,1950.0,M12,December,59429.0,[{}],
LNS12000000,1951.0,M01,January,59636.0,[{}],
LNS12000000,1951.0,M02,February,59661.0,[{}],
LNS12000000,1951.0,M03,March,60401.0,[{}],
LNS12000000,1951.0,M04,April,59889.0,[{}],
LNS12000000,1951.0,M05,May,60188.0,[{}],
LNS12000000,1951.0,M06,June,59620.0,[{}],
LNS12000000,1951.0,M07,July,60156.0,[{}],
LNS12000000,1951.0,M08,August,59994.0,[{}],
LNS12000000,1951.0,M09,September,59713.0,[{}],
LNS12000000,1951.0,M10,October,60010.0,[{}],
LNS12000000,1951.0,M11,November,59836.0,[{}],
LNS12000000,1951.0,M12,December,60497.0,[{}],
LNS12000000,1952.0,M01,January,60460.0,[{}],
LNS12000000,1952.0,M02,February,60462.0,[{}],
LNS12000000,1952.0,M03,March,59908.0,[{}],
LNS12000000,1952.0,M04,April,59909.0,[{}],
LNS12000000,1952.0,M05,May,60195.0,[{}],
LNS12000000,1952.0,M06,June,60219.0,[{}],
LNS12000000,1952.0,M07,July,59971.0,[{}],
LNS12000000,1952.0,M08,August,59790.0,[{}],
LNS12000000,1952.0,M09,September,60521.0,[{}],
LNS12000000,1952.0,M10,October,60132.0,[{}],
LNS12000000,1952.0,M11,November,60748.0,[{}],
LNS12000000,1952.0,M12,December,60954.0,[{}],
LNS12000000,1953.0,M01,January,61600.0,[{}],
LNS12000000,1953.0,M02,February,61884.0,[{}],
