year,period,periodName,latest,value,footnotes,series_id
2023,A01,Annual,True,105.366,[{}],MPU4910012
2022,A01,Annual,,104.078,[{}],MPU4910012
2021,A01,Annual,,105.253,[{}],MPU4910012
2020,A01,Annual,,101.397,[{}],MPU4910012
2023,A01,Annual,true,105.366,[{}],MPU4910012
2022,A01,Annual,,104.078,[{}],MPU4910012
2021,A01,Annual,,105.253,[{}],MPU4910012
2020,A01,Annual,,101.397,[{}],MPU4910012
2019,A01,Annual,,101.933,[{}],MPU4910012
2018,A01,Annual,,100.644,[{}],MPU4910012
2017,A01,Annual,,100.000,[{}],MPU4910012
2016,A01,Annual,,99.340,[{}],MPU4910012
2015,A01,Annual,,99.397,[{}],MPU4910012
2014,A01,Annual,,98.552,[{}],MPU4910012
2013,A01,Annual,,97.876,[{}],MPU4910012
2012,A01,Annual,,97.535,[{}],MPU4910012
