year,period,periodName,latest,value,footnotes,series_id
2024,M10,October,True,145.615,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",WPSFD4
2024,M09,September,,145.329,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",WPSFD4
2024,M08,August,,145.247,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",WPSFD4
2024,M07,July,,144.899,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",WPSFD4
2024,M06,June,,144.834,[{}],WPSFD4
2024,M05,May,,144.257,[{}],WPSFD4
2024,M04,April,,144.255,[{}],WPSFD4
2024,M03,March,,143.535,[{}],WPSFD4
2024,M02,February,,143.509,[{}],WPSFD4
2024,M01,January,,142.683,[{}],WPSFD4
2023,M12,December,,142.17,[{}],WPSFD4
2023,M11,November,,142.267,[{}],WPSFD4
2023,M10,October,,142.191,[{}],WPSFD4
2023,M09,September,,142.658,[{}],WPSFD4
2023,M08,August,,142.353,[{}],WPSFD4
2023,M07,July,,141.461,[{}],WPSFD4
2023,M06,June,,140.672,[{}],WPSFD4
2023,M05,May,,140.664,[{}],WPSFD4
2023,M04,April,,140.977,[{}],WPSFD4
2023,M03,March,,140.738,[{}],WPSFD4
2023,M02,February,,141.237,[{}],WPSFD4
2023,M01,January,,141.286,[{}],WPSFD4
2022,M12,December,,140.696,[{}],WPSFD4
2022,M11,November,,141.18,[{}],WPSFD4
2022,M10,October,,140.666,[{}],WPSFD4
2022,M09,September,,140.137,[{}],WPSFD4
2022,M08,August,,139.721,[{}],WPSFD4
2022,M07,July,,139.837,[{}],WPSFD4
2022,M06,June,,140.238,[{}],WPSFD4
2022,M05,May,,139.026,[{}],WPSFD4
2022,M04,April,,137.805,[{}],WPSFD4
2022,M03,March,,137.041,[{}],WPSFD4
2022,M02,February,,134.821,[{}],WPSFD4
2022,M01,January,,133.576,[{}],WPSFD4
2021,M12,December,,132.224,[{}],WPSFD4
2021,M11,November,,131.455,[{}],WPSFD4
2021,M10,October,,130.061,[{}],WPSFD4
2021,M09,September,,129.188,[{}],WPSFD4
2021,M08,August,,128.574,[{}],WPSFD4
2021,M07,July,,127.504,[{}],WPSFD4
2021,M06,June,,126.2,[{}],WPSFD4
2021,M05,May,,125.3,[{}],WPSFD4
2021,M04,April,,124.1,[{}],WPSFD4
2021,M03,March,,122.8,[{}],WPSFD4
2021,M02,February,,122.0,[{}],WPSFD4
2021,M01,January,,121.2,[{}],WPSFD4
2020,M12,December,,120.0,[{}],WPSFD4
2020,M11,November,,119.5,[{}],WPSFD4
2020,M10,October,,119.4,[{}],WPSFD4
2020,M09,September,,118.7,[{}],WPSFD4
2020,M08,August,,118.4,[{}],WPSFD4
2020,M07,July,,118.2,[{}],WPSFD4
2020,M06,June,,117.5,[{}],WPSFD4
2020,M05,May,,117.2,[{}],WPSFD4
2020,M04,April,,116.6,[{}],WPSFD4
2020,M03,March,,118.0,[{}],WPSFD4
2020,M02,February,,118.6,[{}],WPSFD4
2020,M01,January,,119.3,[{}],WPSFD4
2024,M10,October,true,145.615,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",WPSFD4
2024,M09,September,,145.329,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",WPSFD4
2024,M08,August,,145.247,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",WPSFD4
2024,M07,July,,144.899,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",WPSFD4
2024,M06,June,,144.834,[{}],WPSFD4
2024,M05,May,,144.257,[{}],WPSFD4
2024,M04,April,,144.255,[{}],WPSFD4
2024,M03,March,,143.535,[{}],WPSFD4
