series_id,year,period,periodName,value,footnotes,latest
WPUFD49104,2010.0,M04,April,100.0,[{}],
WPUFD49104,2010.0,M05,May,100.2,[{}],
WPUFD49104,2010.0,M06,June,100.1,[{}],
WPUFD49104,2010.0,M07,July,100.2,[{}],
WPUFD49104,2010.0,M08,August,100.3,[{}],
WPUFD49104,2010.0,M09,September,100.4,[{}],
WPUFD49104,2010.0,M10,October,100.7,[{}],
WPUFD49104,2010.0,M11,November,100.7,[{}],
WPUFD49104,2010.0,M12,December,100.6,[{}],
WPUFD49104,2011.0,M01,January,101.2,[{}],
WPUFD49104,2011.0,M02,February,101.6,[{}],
WPUFD49104,2011.0,M03,March,102.2,[{}],
WPUFD49104,2011.0,M04,April,102.5,[{}],
WPUFD49104,2011.0,M05,May,102.5,[{}],
WPUFD49104,2011.0,M06,June,102.7,[{}],
WPUFD49104,2011.0,M07,July,102.9,[{}],
WPUFD49104,2011.0,M08,August,103.3,[{}],
WPUFD49104,2011.0,M09,September,103.3,[{}],
WPUFD49104,2011.0,M10,October,103.4,[{}],
WPUFD49104,2011.0,M11,November,103.4,[{}],
WPUFD49104,2011.0,M12,December,103.2,[{}],
WPUFD49104,2012.0,M01,January,103.7,[{}],
WPUFD49104,2012.0,M02,February,104.2,[{}],
WPUFD49104,2012.0,M03,March,104.5,[{}],
WPUFD49104,2012.0,M04,April,104.7,[{}],
WPUFD49104,2012.0,M05,May,104.8,[{}],
WPUFD49104,2012.0,M06,June,104.7,[{}],
WPUFD49104,2012.0,M07,July,104.6,[{}],
WPUFD49104,2012.0,M08,August,104.5,[{}],
WPUFD49104,2012.0,M09,September,104.7,[{}],
WPUFD49104,2012.0,M10,October,105.1,[{}],
WPUFD49104,2012.0,M11,November,105.3,[{}],
WPUFD49104,2012.0,M12,December,105.3,[{}],
WPUFD49104,2013.0,M01,January,105.5,[{}],
WPUFD49104,2013.0,M02,February,105.7,[{}],
WPUFD49104,2013.0,M03,March,106.1,[{}],
WPUFD49104,2013.0,M04,April,106.1,[{}],
WPUFD49104,2013.0,M05,May,105.7,[{}],
WPUFD49104,2013.0,M06,June,106.1,[{}],
WPUFD49104,2013.0,M07,July,106.4,[{}],
