year,period,periodName,latest,value,footnotes,series_id
2024,M11,November,True,133.412,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",WPUFD49116
2024,M10,October,,133.546,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",WPUFD49116
2024,M09,September,,132.888,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",WPUFD49116
2024,M08,August,,132.971,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",WPUFD49116
2024,M07,July,,132.867,[{}],WPUFD49116
2024,M06,June,,132.415,[{}],WPUFD49116
2024,M05,May,,131.92,[{}],WPUFD49116
2024,M04,April,,131.761,[{}],WPUFD49116
2024,M03,March,,131.184,[{}],WPUFD49116
2024,M02,February,,130.757,[{}],WPUFD49116
2024,M01,January,,130.242,[{}],WPUFD49116
2023,M12,December,,129.249,[{}],WPUFD49116
2023,M11,November,,128.892,[{}],WPUFD49116
2023,M10,October,,128.999,[{}],WPUFD49116
2023,M09,September,,128.662,[{}],WPUFD49116
2023,M08,August,,128.511,[{}],WPUFD49116
2023,M07,July,,128.361,[{}],WPUFD49116
2023,M06,June,,128.111,[{}],WPUFD49116
2023,M05,May,,127.586,[{}],WPUFD49116
2023,M04,April,,127.662,[{}],WPUFD49116
2023,M03,March,,127.515,[{}],WPUFD49116
2023,M02,February,,127.25,[{}],WPUFD49116
2023,M01,January,,126.772,[{}],WPUFD49116
2022,M12,December,,125.812,[{}],WPUFD49116
2022,M11,November,,125.719,[{}],WPUFD49116
2022,M10,October,,125.479,[{}],WPUFD49116
2022,M09,September,,125.03,[{}],WPUFD49116
2022,M08,August,,124.909,[{}],WPUFD49116
2022,M07,July,,124.757,[{}],WPUFD49116
2022,M06,June,,124.545,[{}],WPUFD49116
2022,M05,May,,124.044,[{}],WPUFD49116
2022,M04,April,,123.521,[{}],WPUFD49116
2022,M03,March,,122.979,[{}],WPUFD49116
2022,M02,February,,121.788,[{}],WPUFD49116
2022,M01,January,,121.418,[{}],WPUFD49116
2021,M12,December,,120.205,[{}],WPUFD49116
2021,M11,November,,119.825,[{}],WPUFD49116
2021,M10,October,,118.991,[{}],WPUFD49116
2021,M09,September,,118.362,[{}],WPUFD49116
2021,M08,August,,118.238,[{}],WPUFD49116
2021,M07,July,,117.905,[{}],WPUFD49116
2021,M06,June,,117.0,[{}],WPUFD49116
2021,M05,May,,116.2,[{}],WPUFD49116
2021,M04,April,,115.7,[{}],WPUFD49116
2021,M03,March,,114.8,[{}],WPUFD49116
2021,M02,February,,114.1,[{}],WPUFD49116
2021,M01,January,,113.6,[{}],WPUFD49116
2020,M12,December,,112.3,[{}],WPUFD49116
2020,M11,November,,112.0,[{}],WPUFD49116
2020,M10,October,,112.0,[{}],WPUFD49116
2020,M09,September,,111.6,[{}],WPUFD49116
2020,M08,August,,111.3,[{}],WPUFD49116
2020,M07,July,,111.2,[{}],WPUFD49116
2020,M06,June,,110.8,[{}],WPUFD49116
2020,M05,May,,110.4,[{}],WPUFD49116
2020,M04,April,,110.4,[{}],WPUFD49116
2020,M03,March,,111.3,[{}],WPUFD49116
2020,M02,February,,111.5,[{}],WPUFD49116
2020,M01,January,,111.5,[{}],WPUFD49116
2019,M12,December,,110.9,[{}],WPUFD49116
2019,M11,November,,110.9,[{}],WPUFD49116
2019,M10,October,,111.0,[{}],WPUFD49116
2019,M09,September,,110.7,[{}],WPUFD49116
2019,M08,August,,110.9,[{}],WPUFD49116
2019,M07,July,,110.9,[{}],WPUFD49116
2019,M06,June,,110.7,[{}],WPUFD49116
2019,M05,May,,110.6,[{}],WPUFD49116
2019,M04,April,,110.5,[{}],WPUFD49116
2019,M03,March,,110.2,[{}],WPUFD49116
2019,M02,February,,110.0,[{}],WPUFD49116
2019,M01,January,,109.8,[{}],WPUFD49116
2018,M12,December,,109.3,[{}],WPUFD49116
2018,M11,November,,109.4,[{}],WPUFD49116
2018,M10,October,,109.4,[{}],WPUFD49116
2018,M09,September,,108.9,[{}],WPUFD49116
2018,M08,August,,108.8,[{}],WPUFD49116
2018,M07,July,,108.8,[{}],WPUFD49116
2018,M06,June,,108.4,[{}],WPUFD49116
2018,M05,May,,108.0,[{}],WPUFD49116
2018,M04,April,,107.9,[{}],WPUFD49116
2018,M03,March,,107.8,[{}],WPUFD49116
2018,M02,February,,107.4,[{}],WPUFD49116
2018,M01,January,,107.0,[{}],WPUFD49116
2017,M12,December,,106.3,[{}],WPUFD49116
2017,M11,November,,106.3,[{}],WPUFD49116
2017,M10,October,,106.2,[{}],WPUFD49116
2017,M09,September,,105.6,[{}],WPUFD49116
2017,M08,August,,105.6,[{}],WPUFD49116
2017,M07,July,,105.6,[{}],WPUFD49116
2017,M06,June,,105.5,[{}],WPUFD49116
2017,M05,May,,105.2,[{}],WPUFD49116
2017,M04,April,,105.2,[{}],WPUFD49116
2017,M03,March,,104.8,[{}],WPUFD49116
2017,M02,February,,104.6,[{}],WPUFD49116
2017,M01,January,,104.4,[{}],WPUFD49116
2016,M12,December,,103.9,[{}],WPUFD49116
2016,M11,November,,103.8,[{}],WPUFD49116
2016,M10,October,,103.7,[{}],WPUFD49116
2016,M09,September,,103.4,[{}],WPUFD49116
2016,M08,August,,103.6,[{}],WPUFD49116
2016,M07,July,,103.5,[{}],WPUFD49116
2016,M06,June,,103.3,[{}],WPUFD49116
2016,M05,May,,103.0,[{}],WPUFD49116
2016,M04,April,,103.1,[{}],WPUFD49116
2016,M03,March,,102.9,[{}],WPUFD49116
2016,M02,February,,102.8,[{}],WPUFD49116
2016,M01,January,,102.7,[{}],WPUFD49116
2015,M12,December,,102.1,[{}],WPUFD49116
2015,M11,November,,102.0,[{}],WPUFD49116
2015,M10,October,,102.2,[{}],WPUFD49116
2015,M09,September,,102.1,[{}],WPUFD49116
2015,M08,August,,102.4,[{}],WPUFD49116
2015,M07,July,,102.5,[{}],WPUFD49116
2015,M06,June,,102.3,[{}],WPUFD49116
2015,M05,May,,102.0,[{}],WPUFD49116
2015,M04,April,,102.1,[{}],WPUFD49116
2015,M03,March,,102.0,[{}],WPUFD49116
2015,M02,February,,101.9,[{}],WPUFD49116
2015,M01,January,,101.9,[{}],WPUFD49116
2014,M12,December,,101.8,[{}],WPUFD49116
2014,M11,November,,101.8,[{}],WPUFD49116
2014,M10,October,,101.8,[{}],WPUFD49116
2014,M09,September,,101.6,[{}],WPUFD49116
2014,M08,August,,101.8,[{}],WPUFD49116
2014,M07,July,,101.6,[{}],WPUFD49116
2014,M06,June,,101.5,[{}],WPUFD49116
2014,M05,May,,101.3,[{}],WPUFD49116
2014,M04,April,,101.3,[{}],WPUFD49116
2014,M03,March,,101.3,[{}],WPUFD49116
2014,M02,February,,101.1,[{}],WPUFD49116
2014,M01,January,,100.9,[{}],WPUFD49116
2013,M12,December,,100.5,[{}],WPUFD49116
2013,M11,November,,100.3,[{}],WPUFD49116
2013,M10,October,,100.3,[{}],WPUFD49116
2013,M09,September,,99.9,[{}],WPUFD49116
2013,M08,August,,100.0,[{}],WPUFD49116
2024,M11,November,true,133.412,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",WPUFD49116
2024,M10,October,,133.546,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",WPUFD49116
2024,M09,September,,132.888,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",WPUFD49116
2024,M08,August,,132.971,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",WPUFD49116
2024,M07,July,,132.867,[{}],WPUFD49116
2024,M06,June,,132.415,[{}],WPUFD49116
2024,M05,May,,131.920,[{}],WPUFD49116
2024,M04,April,,131.761,[{}],WPUFD49116
2024,M03,March,,131.184,[{}],WPUFD49116
2024,M02,February,,130.757,[{}],WPUFD49116
2024,M01,January,,130.242,[{}],WPUFD49116
